full_name,pdes,neo,pha,H,diameter,albedo,rot_per,BV,spec_B,spec_T,diameter_sigma,e,a,q,i,ad,per,per_y,moid,sigma_e,sigma_a,sigma_tp,sigma_per,two_body
     1 Ceres (A801 AA),1,N,N,3.35,939.4,0.09,9.07417,0.713,C,G,0.2,0.07957632,2.765615652,2.545538136,10.58788658,2.985693167,1679.910573,4.599344484,1.58055,4.78E-12,1.02E-11,2.85E-08,9.31E-09,
     4 Vesta (A807 FA),4,N,N,3.25,522.77,0.4228,5.342127632,0.782,V,V,0.1,0.090167645,2.36154128,2.148606664,7.1440606,2.574475896,1325.536647,3.629121552,1.13464,2.29E-10,1.52E-09,6.71E-06,1.28E-06,
    10 Hygiea (A849 GA),10,N,N,5.65,407.12,0.0717,13.828,0.696,C,C,6.8,0.108223833,3.147591335,2.806946936,3.832937411,3.488235735,2039.698322,5.584389656,1.79554,4.33E-09,2.35E-09,1.26E-05,2.29E-06,
    52 Europa (A858 CA),52,N,N,6.65,303.918,0.057,5.6304,0.679,C,CF,3.501,0.11200166,3.092193381,2.745862588,7.480921969,3.438524173,1986.087582,5.437611451,1.76297,2.19E-09,2.50E-09,1.08E-05,2.41E-06,
     3 Juno (A804 RA),3,N,N,5.19,246.596,0.214,7.21,0.824,Sk,S,10.594,0.255825773,2.670879059,1.98759936,12.98603961,3.354158758,1594.335665,4.365053156,1.03829,4.40E-09,1.47E-09,3.84E-06,1.32E-06,
    88 Thisbe (A866 LA),88,N,N,7.24,232,0.0671,6.042,0.681,B,CF,,0.16528953,2.766963824,2.309613675,5.226419823,3.224313974,1681.139098,4.602708003,1.29643,2.44E-09,1.75E-09,5.10E-06,1.59E-06,
    15 Eunomia (A851 OA),15,N,N,5.43,231.689,0.248,6.083,0.839,S,S,2.234,0.187781331,2.642186114,2.146032889,11.76143491,3.138339339,1568.713144,4.294902517,1.1888,4.29E-09,1.50E-09,7.23E-06,1.33E-06,
    16 Psyche (A852 FA),16,N,N,6.2,222,0.1203,4.196,0.729,X,M,-0.25,0.13434622,2.923314514,2.530578259,3.097291663,3.31605077,1825.625701,4.998290764,1.53323,2.95E-09,2.88E-09,8.87E-06,2.69E-06,
   324 Bamberga (A892 DA),324,N,N,7.19,220.691,0.05,29.43,0.695,,CP,1.441,0.340449118,2.682371258,1.76916033,11.09615681,3.595582186,1604.636834,4.39325622,0.785363,2.07E-09,1.24E-09,3.93E-06,1.11E-06,
    48 Doris (A857 SA),48,N,N,7.11,216.473,0.065,11.89,0.716,Ch,CG,4.757,0.066263528,3.112870762,2.906600964,6.557769141,3.319140559,2006.042188,5.492244184,1.92938,2.32E-09,3.34E-09,9.41E-06,3.23E-06,
   117 Lomia (A871 RB),117,N,N,8.15,208.974,0.027,9.127,0.687,X,XC,1.208,0.022921092,2.991884567,2.923307306,14.921925,3.060461828,1890.234464,5.175179914,1.93769,2.32E-09,3.58E-09,2.40E-05,3.39E-06,
   106 Dione (A868 TA),106,N,N,7.76,207.869,0.044,16.21,0.743,Cgh,G,2.158,0.158853256,3.182491001,2.676941944,4.575003943,3.688040058,2073.715641,5.677524,1.68383,1.88E-09,4.44E-09,1.19E-05,4.34E-06,
    94 Aurora (A867 RA),94,N,N,7.71,204.89,0.0395,7.22,0.663,C,CP,3.6,0.096384844,3.1563619,2.852136451,7.969781987,3.460587349,2048.229494,5.607746731,1.87475,3.53E-09,3.76E-09,7.11E-06,3.66E-06,
    45 Eugenia (A857 MA),45,N,N,7.75,202.327,0.045,5.699,0.676,C,FC,2.168,0.082172422,2.721582321,2.49794331,6.605637305,2.945221333,1639.950123,4.489938735,1.49613,1.91E-09,1.92E-09,6.74E-06,1.73E-06,
    19 Fortuna (A852 QA),19,N,N,7.49,200,0.037,7.4432,0.719,Ch,G,,0.158036184,2.442063444,2.056129056,1.573309761,2.827997831,1393.907133,3.816309743,1.06155,2.94E-09,1.26E-09,5.82E-06,1.08E-06,
     7 Iris (A847 PA),7,N,N,5.68,199.83,0.2766,7.139,0.855,S,S,10,0.230213312,2.386528966,1.837118228,5.518812911,2.935939705,1346.63064,3.686873757,0.849214,3.57E-09,9.86E-10,3.50E-06,8.35E-07,
    24 Themis (A853 GA),24,N,N,7.22,198,0.067,8.374,0.684,B,C,,0.115343007,3.143254185,2.780701796,0.736699519,3.505806574,2035.483942,5.572851312,1.79221,2.14E-09,3.44E-09,5.36E-06,3.35E-06,
     9 Metis (A848 HA),9,N,N,6.18,190,0.118,5.079,0.858,,S,,0.122564495,2.386566544,2.094058222,5.577707857,2.679074867,1346.662446,3.686960838,1.10863,3.09E-09,1.11E-09,6.55E-06,9.43E-07,
    29 Amphitrite (A854 EB),29,N,N,5.98,189.559,0.216,5.3921,0.838,S,S,1.129,0.073350274,2.554121109,2.366775626,6.077438248,2.741466592,1490.941682,4.081975858,1.38468,2.47E-09,1.63E-09,1.15E-05,1.43E-06,
     6 Hebe (A847 NA),6,N,N,5.61,185.18,0.2679,7.2745,0.822,S,S,2.9,0.202230064,2.425469296,1.934966484,14.73615053,2.915972107,1379.723618,3.777477394,0.975628,4.29E-09,1.18E-09,7.49E-06,1.01E-06,
   165 Loreley (A876 PA),165,N,N,7.81,180.083,0.047,7.226,0.722,Cb,CD,2.064,0.08351853,3.126794242,2.865648985,11.23382489,3.387939499,2019.51639,5.529134538,1.8494,2.45E-09,3.63E-09,7.93E-06,3.52E-06,
    39 Laetitia (A856 CA),39,N,N,5.97,179.484,0.269,5.138,0.898,S,S,1.685,0.113063597,2.770985906,2.457688273,10.37524429,3.084283539,1684.806006,4.612747451,1.45967,2.97E-09,2.12E-09,8.45E-06,1.93E-06,
   209 Dido (A879 UC),209,N,N,8.3,179.008,0.028,5.7366,0.691,Xc,C,1.06,0.053284558,3.150129367,2.982276115,7.165048851,3.317982619,2042.165857,5.591145399,1.9772,2.12E-09,3.35E-09,1.23E-05,3.25E-06,
   423 Diotima (A896 XA),423,N,N,7.38,175.859,0.067,4.775,0.668,C,C,3.854,0.033872916,3.066783528,2.962902628,11.24258762,3.170664429,1961.657169,5.370724625,1.94773,1.90E-09,2.85E-09,1.81E-05,2.73E-06,
   259 Aletheia (A886 MA),259,N,N,7.81,174.318,0.043,8.143,0.698,X,CP,1.054,0.129969267,3.133531985,2.726269131,10.80839048,3.54079484,2026.047509,5.547015768,1.71116,3.03E-09,4.34E-09,8.90E-06,4.21E-06,
   409 Aspasia (A895 XC),409,N,N,7.66,171.012,0.054,9.022,0.719,Xc,CX,1.155,0.073320511,2.575146719,2.386335645,11.28516083,2.763957794,1509.389742,4.132483892,1.37261,2.35E-09,1.47E-09,7.48E-06,1.29E-06,
   241 Germania (A884 RA),241,N,N,7.73,168.9,0.0575,15.51,0.689,B,CP,3.1,0.106251007,3.045694065,2.722086002,5.517921865,3.369302128,1941.457297,5.315420387,1.72128,2.29E-09,3.08E-09,6.39E-06,2.95E-06,
    47 Aglaja (A857 RA),47,N,N,8.15,168.174,0.082,13.178,0.665,B,C,1.222,0.133314138,2.881138964,2.497042406,4.969777119,3.265235523,1786.260257,4.890514051,1.48561,1.74E-09,2.60E-09,3.73E-06,2.42E-06,
   488 Kreusa (A902 MC),488,N,N,7.9,168.117,0.047,32.645,0.691,,C,2.062,0.158443512,3.167353726,2.665507077,11.47607543,3.669200375,2058.938043,5.637065142,1.70356,3.31E-09,6.29E-09,4.29E-06,6.14E-06,
    22 Kalliope (A852 WA),22,N,N,6.79,167.536,0.166,4.1483,0.715,X,M,3.053,0.098879784,2.909465731,2.621778387,13.7016829,3.197153074,1812.668118,4.962814832,1.63477,3.09E-09,2.78E-09,1.06E-05,2.60E-06,
    49 Pales (A857 SB),49,N,N,7.99,166.252,0.048,20.705,0.749,Ch,CG,2.166,0.221474352,3.098062538,2.411921144,3.201655558,3.784203932,1991.744824,5.453100134,1.42115,2.18E-09,3.44E-09,8.12E-06,3.31E-06,
    59 Elpis (A860 RA),59,N,N,8.08,165.119,0.044,13.671,0.662,B,CP,4.506,0.11662738,2.713657457,2.397170698,8.64827569,3.030144215,1632.792384,4.470341913,1.40239,1.92E-09,2.23E-09,5.57E-06,2.01E-06,
   128 Nemesis (A872 WA),128,N,N,7.69,162.515,0.067,38.9325,0.685,C,C,1.296,0.12700639,2.749973114,2.400708958,6.246829389,3.099237271,1665.678188,4.560378338,1.40944,2.12E-09,2.50E-09,4.29E-06,2.27E-06,
   146 Lucina (A875 LC),146,N,N,8.5,160.31,0.036,18.557,0.703,Ch,C,1.21,0.064552059,2.720696356,2.545069805,13.09647403,2.896322907,1639.149401,4.487746478,1.54066,1.39E-09,1.93E-09,5.22E-06,1.75E-06,
    54 Alexandra (A858 RA),54,N,N,7.95,160.12,0.059,7.024,0.727,C,C,1.857,0.198304307,2.71257591,2.174660425,11.83053616,3.250491395,1631.81634,4.467669652,1.15947,1.58E-09,2.01E-09,4.42E-06,1.81E-06,
   596 Scheila (A906 DL),596,N,N,8.92,159.726,0.04,15.848,0.714,T,PCD,1.103,0.159452139,2.935697579,2.467594319,14.62963526,3.403800838,1837.237913,5.030083265,1.45219,1.45E-09,2.62E-09,4.67E-06,2.46E-06,
   444 Gyptis (A899 FA),444,N,N,8.06,159.331,0.051,6.214,0.676,C,C,0.49,0.173380619,2.77081013,2.290405354,10.27336677,3.251214905,1684.645696,4.612308546,1.28879,2.06E-09,2.76E-09,7.20E-06,2.52E-06,
   238 Hypatia (A884 NA),238,N,N,8.04,155.659,0.039,8.8749,0.739,Ch,C,0.751,0.091759912,2.905019778,2.638455417,12.40639712,3.171584139,1808.5148,4.951443669,1.64857,1.40E-09,2.09E-09,4.91E-06,1.95E-06,
   120 Lachesis (A872 GB),120,N,N,7.78,155.132,0.058,46.551,0.707,C,C,1.133,0.049000114,3.120262759,2.96736953,6.941077196,3.273155989,2013.191919,5.51181908,1.96628,1.81E-09,3.50E-09,1.97E-05,3.39E-06,
    85 Io (A865 SA),85,N,N,7.93,154.79,0.0666,6.875,0.668,B,FC,3.8,0.193085426,2.653032539,2.14077062,11.96082526,3.165294457,1578.382625,4.321376113,1.1558,1.75E-09,1.60E-09,3.78E-06,1.43E-06,
    93 Minerva (A867 QA),93,N,N,7.89,154.155,0.056,5.982,0.685,C,CU,1.298,0.142909307,2.752986528,2.359559132,8.539724129,3.146413925,1668.416807,4.567876269,1.36088,2.09E-09,1.99E-09,4.93E-06,1.81E-06,
    14 Irene (A851 KA),14,N,N,6.55,152,0.159,15.028,0.833,S,S,,0.162670165,2.587873257,2.166903488,9.129549915,3.008843027,1520.592804,4.163156205,1.19004,3.73E-09,1.57E-09,5.52E-06,1.38E-06,
   139 Juewa (A874 TA),139,N,N,8.05,151.116,0.052,20.991,0.693,X,CP,1.596,0.170248829,2.785623724,2.311374548,10.87122913,3.2598729,1698.173681,4.649346148,1.31763,2.36E-09,2.01E-09,4.82E-06,1.84E-06,
   419 Aurelia (A896 RF),419,N,N,8.56,148.701,0.034,16.784,0.641,,F,1.611,0.252281007,2.59570823,1.940860345,3.931316125,3.250556115,1527.503585,4.182076891,0.925306,2.10E-09,1.71E-09,3.40E-06,1.51E-06,
    95 Arethusa (A867 WA),95,N,N,7.97,147.969,0.058,8.705,0.711,Ch,C,5.148,0.152648858,3.063983813,2.596270182,13.00999171,3.531697444,1958.971541,5.363371775,1.61102,1.90E-09,3.32E-09,4.11E-06,3.19E-06,
     8 Flora (A847 UA),8,N,N,6.62,147.491,0.226,12.865,0.885,,S,1.025,0.156333713,2.201307163,1.85716864,5.890326395,2.545445686,1192.942186,3.266097704,0.874031,4.59E-09,1.12E-09,8.36E-06,9.08E-07,
   762 Pulcova (A913 RD),762,N,N,8.43,147.343,0.04,5.839,0.658,,F,0.818,0.107848369,3.152476864,2.812487377,13.10225384,3.492466351,2044.449036,5.597396402,1.82714,1.98E-09,3.52E-09,1.08E-05,3.42E-06,
   187 Lamberta (A878 GB),187,N,N,8.38,147.294,0.044,10.67,0.709,Ch,C,1.389,0.238864384,2.731059463,2.078706628,10.56955271,3.383412299,1648.523571,4.513411555,1.07295,1.92E-09,2.11E-09,3.66E-06,1.91E-06,
   356 Liguria (A893 BE),356,N,N,8.37,145.503,0.065,31.701,0.733,,C,1.441,0.242138737,2.75476472,2.087729469,8.205889473,3.421799971,1670.033548,4.572302664,1.12028,1.77E-09,2.53E-09,6.34E-06,2.30E-06,
   196 Philomela (A879 JA),196,N,N,6.72,144.626,0.342,8.334,0.852,S,S,4.085,0.013635638,3.114848198,3.072375254,7.261088871,3.157321141,2007.953985,5.497478398,2.05605,2.93E-09,3.44E-09,6.50E-05,3.32E-06,
   268 Adorea (A887 LA),268,N,N,8.6,144.585,0.041,7.8,0.663,,FC,0.892,0.137194364,3.090791214,2.666752079,2.440908736,3.514830349,1984.736837,5.433913313,1.66769,2.01E-09,3.28E-09,7.59E-06,3.16E-06,
   156 Xanthippe (A875 WA),156,N,N,8.81,143.346,0.03,22.132,0.713,Ch,C,0.903,0.221799178,2.734247263,2.127793467,9.763675486,3.34070106,1651.410745,4.521316208,1.12089,1.60E-09,1.85E-09,3.78E-06,1.68E-06,
    11 Parthenope (A850 JA),11,N,N,6.73,142.887,0.191,13.7204,0.837,Sk,S,1.008,0.100477347,2.453167331,2.206679585,4.635746376,2.699655076,1403.424925,3.842368037,1.19277,2.61E-09,1.21E-09,8.61E-06,1.04E-06,
   144 Vibilia (A875 LA),144,N,N,8.05,142.38,0.0597,13.819,0.727,Ch,C,2.6,0.235600232,2.653452344,2.028298357,4.816044481,3.27860633,1578.757276,4.32240185,1.03305,1.72E-09,1.67E-09,4.67E-06,1.49E-06,
   211 Isolda (A879 XA),211,N,N,7.97,141.125,0.062,18.365,0.711,Ch,C,2.486,0.15457111,3.047970718,2.5768425,3.87368625,3.519098936,1943.634559,5.321381407,1.59177,2.16E-09,4.29E-09,4.84E-06,4.11E-06,
   349 Dembowska (A892 XB),349,N,N,5.97,139.77,0.384,4.701,0.945,R,R,4.3,0.088567515,2.925403407,2.666307696,8.248170268,3.184499117,1827.582838,5.003649111,1.66835,3.98E-09,2.90E-09,1.24E-05,2.72E-06,
    18 Melpomene (A852 MA),18,N,N,6.35,139.594,0.181,11.57,0.854,S,S,2.452,0.217961979,2.295556956,1.79521282,10.13085816,2.795901092,1270.370897,3.47808596,0.811625,2.88E-09,1.06E-09,4.02E-06,8.78E-07,
   489 Comacina (A902 RD),489,N,N,8.6,139.39,0.0427,9.02,0.697,,C,3,0.048867703,3.151507718,2.997500774,12.99412567,3.305514661,2043.506339,5.59481544,2.00248,1.90E-09,3.33E-09,9.73E-06,3.23E-06,
   476 Hedwig (A901 QB),476,N,N,8.7,138.493,0.035,27.33,0.716,X,P,0.975,0.07495169,2.649796649,2.451189912,10.92544809,2.848403386,1575.495789,4.313472386,1.43309,1.62E-09,1.35E-09,4.03E-06,1.21E-06,
    51 Nemausa (A858 BA),51,N,N,7.72,138.159,0.1,7.783,0.789,Ch,CU,0.966,0.065927226,2.365547904,2.209593893,9.972945325,2.521501915,1328.911464,3.638361297,1.21238,1.87E-09,9.44E-10,6.15E-06,7.95E-07,
    69 Hesperia (A861 HC),69,N,N,7.2,138.13,0.1402,5.655,0.674,X,M,4.7,0.168952904,2.977057203,2.474074743,8.585627803,3.480039663,1876.200279,5.136756411,1.50626,2.40E-09,2.79E-09,6.58E-06,2.64E-06,
   104 Klymene (A868 RB),104,N,N,8.52,136.553,0.052,8.984,0.688,Ch,C,1.554,0.16249413,3.143270972,2.632507892,2.789722819,3.654034053,2035.500248,5.572895957,1.64741,1.95E-09,2.35E-09,6.11E-06,2.28E-06,
   212 Medea (A880 CA),212,N,N,8.47,136.12,0.0465,10.283,0.704,,DCX:,2.5,0.102875422,3.11730023,2.796606654,4.277943619,3.437993806,2010.325466,5.503971161,1.81235,1.84E-09,3.39E-09,1.18E-05,3.28E-06,
    20 Massalia (A852 SA),20,N,N,6.54,135.68,0.241,8.098,0.854,S,S,3.674,0.143763565,2.408407833,2.062166536,0.709255859,2.75464913,1365.191179,3.737689743,1.07875,3.00E-09,1.32E-09,4.26E-06,1.12E-06,
   690 Wratislavia (A909 UE),690,N,N,8.14,134.65,0.0604,8.64,0.675,,CPF,3.8,0.175888772,3.152463244,2.597980354,11.2442831,3.706946135,2044.435787,5.597360127,1.62191,1.73E-09,4.11E-09,1.05E-05,4.00E-06,
   469 Argentina (A901 DC),469,N,N,8.66,133.718,0.035,17.5727,0.655,,X,0.746,0.161504427,3.178463419,2.665127507,11.45422487,3.691799331,2069.780319,5.666749676,1.67605,2.02E-09,3.83E-09,4.50E-06,3.74E-06,
    34 Circe (A855 GA),34,N,N,8.75,132.992,0.023,12.15,0.707,Ch,C,1.033,0.106784,2.687939082,2.400910196,5.4958795,2.974967968,1609.635567,4.406942003,1.41183,1.56E-09,2.01E-09,5.04E-06,1.81E-06,
   147 Protogeneia (A875 NA),147,N,N,8.72,132.93,0.0492,7.8528,0.678,C,C,5.1,0.022022134,3.13721724,3.06812902,1.932861902,3.20630546,2029.622722,5.556804167,2.06065,1.73E-09,3.27E-09,2.98E-05,3.17E-06,
   283 Emma (A889 CA),283,N,N,8.77,132.385,0.023,6.896,0.712,,X,0.258,0.143919597,3.048081255,2.60940263,7.988649793,3.48675988,1943.740291,5.321670886,1.61449,1.90E-09,2.05E-09,4.25E-06,1.96E-06,
    46 Hestia (A857 QA),46,N,N,8.52,131.471,0.046,21.04,0.692,Xc,P,22.151,0.171929293,2.525879736,2.09160702,2.351324432,2.960152452,1466.281753,4.014460651,1.08657,2.64E-09,1.30E-09,4.05E-06,1.13E-06,
   171 Ophelia (A877 AB),171,N,N,8.63,130.808,0.076,6.66535,0.695,C,C,1.483,0.132783216,3.127973571,2.71263118,2.547010098,3.543315961,2020.659045,5.532262957,1.72277,1.78E-09,3.69E-09,1.00E-05,3.57E-06,
   360 Carlova (A893 EE),360,N,N,8.49,129.125,0.043,6.183,0.692,C,C,2.832,0.173726337,3.0048785,2.482851964,11.74307652,3.526905035,1902.561925,5.208930665,1.52523,2.13E-09,4.52E-09,1.07E-05,4.29E-06,
   137 Meliboea (A874 HA),137,N,N,8.33,128.678,0.065,25.676,0.689,,C,0.533,0.210735595,3.126287156,2.467467171,13.42268103,3.785107142,2019.025139,5.527789567,1.49307,1.74E-09,2.67E-09,2.74E-06,2.59E-06,
   308 Polyxo (A891 FA),308,N,N,8.17,128.578,0.047,12.031,0.783,T,T,1.557,0.0383797,2.748696377,2.643202234,4.363294009,2.85419052,1664.518329,4.557202818,1.62955,1.85E-09,2.42E-09,1.72E-05,2.19E-06,
   200 Dynamene (A879 OA),200,N,N,8.45,128.301,0.053,37.394,0.727,Ch,C,1.946,0.133598782,2.73802494,2.372228143,6.900311478,3.103821738,1654.834348,4.530689521,1.39447,2.04E-09,2.84E-09,8.43E-06,2.57E-06,
    70 Panopaea (A861 JA),70,N,N,8.16,127.911,0.038,15.8052,0.74,Ch,C,0.745,0.183043827,2.61352257,2.135133397,11.59682827,3.091911743,1543.255414,4.225203051,1.1536,2.11E-09,1.42E-09,3.77E-06,1.26E-06,
   145 Adeona (A875 LB),145,N,N,8.4,127.783,0.061,15.071,0.701,Ch,C,0.355,0.147484982,2.67075442,2.276858254,12.62175325,3.064650587,1594.224065,4.364747612,1.31088,2.55E-09,2.30E-09,4.93E-06,2.06E-06,
    92 Undina (A867 NA),92,N,N,6.75,126.42,0.2509,15.941,0.725,Xc,X,3.4,0.104864734,3.185474654,2.851430701,9.923253392,3.519518607,2076.632553,5.685510071,1.85497,2.44E-09,5.34E-09,1.73E-05,5.22E-06,
   111 Ate (A870 PA),111,N,N,8.21,126.344,0.062,22.072,0.69,Ch,C,0.233,0.103490448,2.592676262,2.324359035,4.93242622,2.86099349,1524.828021,4.174751597,1.34056,1.41E-09,1.45E-09,5.46E-06,1.28E-06,
   173 Ino (A877 PA),173,N,N,7.92,125.821,0.096,6.15,0.705,Xk,C,1.489,0.209512608,2.741658444,2.167246434,14.19488191,3.316070453,1658.129519,4.539711208,1.19229,2.40E-09,2.00E-09,4.60E-06,1.82E-06,
   388 Charybdis (A894 ED),388,N,N,8.71,125.754,0.042,9.516,0.719,C,C,1.887,0.064992709,3.004874768,2.809579816,6.448123336,3.20016972,1902.558381,5.208920961,1.79859,1.61E-09,3.36E-09,1.57E-05,3.19E-06,
   159 Aemilia (A876 BA),159,N,N,8.28,125.236,0.064,24.476,0.7,Ch,C,1.191,0.099366867,3.108003631,2.799171048,6.114337921,3.416836214,2001.339205,5.479368119,1.81705,1.56E-09,3.85E-09,5.35E-06,3.72E-06,
   303 Josephina (A891 CA),303,N,N,9.08,124.923,0.034,12.497,,,,0.952,0.056062358,3.124872424,2.949684709,6.884116193,3.30006014,2017.654797,5.524037774,1.96787,1.48E-09,3.59E-09,1.45E-05,3.48E-06,
   203 Pompeja (A879 SA),203,N,N,8.92,124.592,0.036,24.052,0.702,,DCX:,1.079,0.061096959,2.738525074,2.571209519,3.172082218,2.905840629,1655.287781,4.531930955,1.58164,1.29E-09,1.80E-09,8.82E-06,1.63E-06,
   712 Boliviana (A911 FF),712,N,N,8.58,124.125,0.039,11.7426,0.743,X,C,1.263,0.184997664,2.576165512,2.099580909,12.75544396,3.052750115,1510.285559,4.134936506,1.10997,1.95E-09,1.84E-09,4.47E-06,1.62E-06,
   227 Philosophia (A882 PA),227,N,N,9.13,123.891,0.065,26.468,,,,1.074,0.199845311,3.152496989,2.522485249,9.087033118,3.78250873,2044.468613,5.597450002,1.53035,1.40E-09,3.64E-09,8.93E-06,3.55E-06,
    68 Leto (A861 HB),68,N,N,6.9,122.509,0.228,14.848,0.845,,S,3.137,0.184340944,2.782761579,2.269784682,7.960518538,3.295738477,1695.557119,4.642182394,1.27427,1.87E-09,2.54E-09,6.98E-06,2.32E-06,
   127 Johanna (A872 VB),127,N,N,8.54,122,0.042,12.7988,,Ch,CX,,0.063328727,2.755860204,2.581335085,8.238027463,2.930385324,1671.029828,4.575030329,1.61253,1.99E-09,2.59E-09,1.23E-05,2.36E-06,
   216 Kleopatra (A880 GB),216,N,N,7.03,122,0.1164,5.385,0.713,Xe,M,30,0.250334274,2.794919893,2.095255652,13.11727472,3.494584134,1706.681473,4.672639216,1.10135,2.39E-09,1.50E-09,4.16E-06,1.37E-06,
    56 Melete (A857 RB),56,N,N,8.51,121.333,0.057,18.147,0.697,Xk,P,0.947,0.2368788,2.596936604,1.981777376,8.081030539,3.212095831,1528.588009,4.185045885,0.983495,2.19E-09,1.79E-09,3.71E-06,1.58E-06,
   250 Bettina (A885 RA),250,N,N,7.68,120.995,0.112,5.0545,0.728,Xk,M,2.212,0.136971433,3.141326429,2.711054448,12.82180825,3.57159841,2033.611687,5.567725358,1.76265,1.64E-09,3.48E-09,1.03E-05,3.38E-06,
    28 Bellona (A854 EA),28,N,N,7.21,120.9,0.1763,15.706,0.845,S,S,3.4,0.148986451,2.777283791,2.363506137,9.423244063,3.191061445,1690.553098,4.628482131,1.37942,2.03E-09,1.94E-09,5.67E-06,1.77E-06,
    78 Diana (A863 EA),78,N,N,8.4,120.6,0.0706,7.2991,0.713,Ch,C,2.7,0.203492794,2.622632693,2.08894584,8.678735514,3.156319546,1551.331578,4.247314383,1.10724,1.78E-09,2.23E-09,5.93E-06,1.98E-06,
   514 Armida (A903 QC),514,N,N,9.2,120.093,0.03,21.851,0.675,,XC,0.79,0.03680491,3.047209405,2.935057137,3.880789249,3.159361673,1942.906392,5.319387793,1.93921,1.12E-09,2.74E-09,1.84E-05,2.62E-06,
   150 Nuwa (A875 UA),150,N,N,8.58,119.128,0.052,8.1347,0.706,Cb,CX,1.869,0.123917425,2.984739457,2.61487823,2.20152013,3.354600685,1883.467225,5.156652224,1.61078,2.02E-09,1.78E-09,3.25E-06,1.68E-06,
   410 Chloris (A896 AC),410,N,N,8.43,118.929,0.043,32.5,0.748,Ch,C,2.856,0.240006744,2.725912922,2.071675437,10.96342882,3.380150406,1643.865929,4.500659628,1.05426,2.60E-09,2.33E-09,2.67E-06,2.11E-06,
   490 Veritas (A902 RE),490,N,N,8.66,118.803,0.059,7.93,0.75,Ch,C,1.83,0.088500881,3.175356698,2.894334833,9.290085707,3.456378563,2066.746467,5.658443443,1.89359,1.50E-09,4.88E-09,1.59E-05,4.77E-06,
    74 Galatea (A862 QA),74,N,N,8.91,118.71,0.0431,17.268,0.686,C,C,2.8,0.236797638,2.78221713,2.123394686,4.070780613,3.441039574,1695.059539,4.640820092,1.12271,1.58E-09,2.07E-09,4.68E-06,1.89E-06,
   141 Lumen (A875 AA),141,N,N,8.38,117.916,0.067,19.87,,Ch,CPF,1.361,0.212985689,2.666393348,2.098489722,11.89575072,3.234296973,1590.320849,4.354061188,1.12401,2.46E-09,2.43E-09,5.40E-06,2.17E-06,
    81 Terpsichore (A864 SA),81,N,N,8.68,117.727,0.045,10.943,0.701,Cb,C,0.734,0.211771083,2.851528563,2.24765727,7.801192622,3.455399857,1758.794165,4.81531599,1.26698,1.34E-09,1.47E-09,2.31E-06,1.36E-06,
   508 Princetonia (A903 HC),508,N,N,8.37,117.241,0.065,52.8,0.732,,C,0.925,0.009215749,3.164497089,3.135333877,13.29835661,3.193660301,2056.153236,5.629440755,2.13377,1.86E-09,3.44E-09,5.80E-05,3.35E-06,
   393 Lampetia (A894 VC),393,N,N,8.37,116.191,0.022,38.455,0.74,Xc,C,27.77,0.332906205,2.780691091,1.854981772,14.82555336,3.706400411,1693.665126,4.637002398,0.909902,1.17E-09,1.31E-09,2.22E-06,1.20E-06,
    63 Ausonia (A861 CA),63,N,N,7.15,116.044,0.125,9.298,0.916,Sa,S,1.747,0.128157107,2.394579216,2.087696871,5.773344963,2.70146156,1353.450073,3.705544347,1.07765,1.94E-09,1.42E-09,5.79E-06,1.20E-06,
    90 Antiope (A866 TA),90,N,N,8.42,115.974,0.058,16.509,0.688,C,C,1.107,0.172446553,3.141267866,2.599567051,2.205400175,3.682968681,2033.554819,5.567569663,1.58511,2.03E-09,3.32E-09,7.90E-06,3.23E-06,
    12 Victoria (A850 RA),12,N,N,7.29,115.087,0.163,8.6599,0.874,L,S,1.199,0.219930701,2.333839594,1.820556617,8.374034564,2.847122572,1302.281683,3.565452931,0.824261,2.36E-09,1.12E-09,4.35E-06,9.38E-07,
   505 Cava (A902 QA),505,N,N,8.74,115,0.04,8.1789,0.683,,FC,,0.24256401,2.687215029,2.035393375,9.822321516,3.339036684,1608.985227,4.40516147,1.05315,1.74E-09,2.88E-09,4.83E-06,2.59E-06,
   129 Antigone (A873 CA),129,N,N,7.02,113,0.151,4.9572,0.717,X,M,,0.213072018,2.868346461,2.257182093,12.26995787,3.479510828,1774.37675,4.857978782,1.27657,2.51E-09,2.38E-09,5.66E-06,2.21E-06,
   206 Hersilia (A879 TC),206,N,N,8.92,113,0.057,11.122,0.69,C,C,,0.040829469,2.74199902,2.630044656,3.780685768,2.853953384,1658.438494,4.540557137,1.64843,1.50E-09,1.93E-09,1.41E-05,1.75E-06,
   517 Edith (A903 SK),517,N,N,9.64,111.89,0.026,9.2747,0.711,,X,0.587,0.179670817,3.155536185,2.588578421,3.2284101,3.722493948,2047.42581,5.605546366,1.60114,9.72E-10,2.71E-09,7.17E-06,2.63E-06,
   230 Athamantis (A882 RA),230,N,N,7.43,111.332,0.164,24.0055,0.871,Sl,S,1.231,0.061101253,2.382363567,2.236798169,9.454642103,2.527928966,1343.106606,3.67722548,1.24876,1.96E-09,1.23E-09,7.09E-06,1.04E-06,
   788 Hohensteina (A914 HE),788,N,N,8.78,111.295,0.041,37.137,,,,0.783,0.136357286,3.12343474,2.697531655,14.35556474,3.549337826,2016.26254,5.520225983,1.71243,1.91E-09,3.63E-09,4.21E-06,3.51E-06,
